Date,Value
1395/08/16,79137.5
1395/08/17,79632.3
1395/08/18,79871.4
1395/08/19,78411.6
1395/08/22,79010.7
1395/08/23,79048.5
1395/08/24,79341.5
1395/08/25,79236.2
1395/08/26,79268.4
1395/08/29,79278.6
1395/09/01,79319
1395/09/02,79393.8
1395/09/03,79385.6
1395/09/06,79541.4
1395/09/07,79625.9
1395/09/09,80018.6
1395/09/13,80058.8
1395/09/14,80063.7
1395/09/15,80081.2
1395/09/16,80830.5
1395/09/17,81341.6
1395/09/20,81250.5
1395/09/21,80925.9
1395/09/22,80915.5
1395/09/23,80741.2
1395/09/24,80683.6
1395/09/28,80709
1395/09/29,80413.1
1395/09/30,80122.7
1395/10/01,80250
1395/10/04,80161.2
1395/10/05,79898.9
1395/10/06,79966.5
1395/10/07,79800.8
1395/10/08,79691.8
1395/10/11,79486.6
1395/10/12,78896
1395/10/13,78968.9
1395/10/14,78983.7
1395/10/15,78990.3
1395/10/18,78826.5
1395/10/19,78833.4
1395/10/20,78609.5
1395/10/22,78622
1395/10/25,78876.2
1395/10/26,79073.2
1395/10/27,79084.2
1395/10/28,79280.4
1395/10/29,79382.2
1395/11/02,79206.6
1395/11/03,79218
1395/11/04,79263.5
1395/11/05,78249.1
1395/11/06,78049
1395/11/09,77714.1
1395/11/10,77707.3
1395/11/11,77961.4
1395/11/12,77975.4
1395/11/13,77414.9
1395/11/16,76825.7
1395/11/17,76616
1395/11/18,76678.7
1395/11/19,76766
1395/11/20,76792.8
1395/11/23,76816.8
1395/11/24,76827.7
1395/11/25,76975.5
1395/11/26,77000.2
1395/11/27,77189.7
1395/11/30,77599.1
1395/12/01,77658.6
1395/12/02,77698.2
1395/12/03,77800.2
1395/12/04,77847.2
1395/12/07,77863.5
1395/12/08,77574.7
1395/12/09,77590.7
1395/12/10,77602.3
1395/12/11,77475.2
1395/12/14,77135.1
1395/12/15,76766.9
1395/12/16,76789.7
1395/12/17,76800.4
1395/12/18,76285.5
1395/12/21,76315.6
1395/12/22,76329
1395/12/23,76332
1395/12/24,76639
1395/12/25,76737.9
1395/12/28,77230
1396/01/05,77485.8
1396/01/06,77502.9
1396/01/07,77523.3
1396/01/08,77548.5
1396/01/09,77584.4
1396/01/14,77616.8
1396/01/15,77647.1
1396/01/16,77689.9
1396/01/19,77804.7
1396/01/20,77860.4
1396/01/21,78107.8
1396/01/23,78132.4
1396/01/26,78383.3
1396/01/27,78471.7
1396/01/28,78247.5
1396/01/29,78339.8
1396/01/30,78651.4
1396/02/02,79302.7
1396/02/03,79390.6
1396/02/04,79425.9
1396/02/06,79596.9
1396/02/09,79755.6
1396/02/10,79785
1396/02/11,79826.6
1396/02/12,79942.1
1396/02/13,79969.2
1396/02/16,79697.4
1396/02/17,79660.9
1396/02/18,79744.1
1396/02/19,79858.8
1396/02/20,80127.1
1396/02/23,80142
1396/02/24,79963
1396/02/25,79957.5
1396/02/26,80129.3
